seq,A,G,d,B,P,M,P_enc,G_enc,d_enc,M_enc,P_enc_seq,G_enc_seq,d_enc_seq,M_enc_seq
Gxpi2:0(Gypi2:0)Gxpi2:0Gxpi2:0@(0)  563  461,Gxpi2:0,Gypi2:0,1,Gxpi2:0Gxpi2:0,Gxpi2:0,Gxpi2:0Gxpi2:0,2,3,1,4,2,9,1,14
Gxpi2:0(Gypi2:0)Gxpi2:0Gxpi2:0Gxpi2:0@(0)  857  167,Gxpi2:0,Gypi2:0,1,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,2,3,1,5,2,9,1,15
Gxpi2:0(Gypi2:0)Gypi2:0Gypi2:0Gypi2:0@(0)  555  469,Gxpi2:0,Gypi2:0,1,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,2,3,1,6,2,9,1,16
Gypi2:0(Gypi2:0)Gxpi2:0@(0)  556  468,Gypi2:0,Gypi2:0,1,Gxpi2:0,Gypi2:0,Gxpi2:0,3,3,1,2,3,9,1,12
Gypi2:0(Gypi2:0)Gxpi2:0Gxpi2:0@(0)  842  182,Gypi2:0,Gypi2:0,1,Gxpi2:0Gxpi2:0,Gypi2:0,Gxpi2:0Gxpi2:0,3,3,1,4,3,9,1,14
Gypi2:0(Gypi2:0)Gxpi2:0Gxpi2:0Gxpi2:0@(0)  560  464,Gypi2:0,Gypi2:0,1,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,3,3,1,5,3,9,1,15
Gypi2:0(Gypi2:0)Gypi2:0Gypi2:0Gypi2:0@(0)  599  425,Gypi2:0,Gypi2:0,1,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,3,3,1,6,3,9,1,16
Gxpi2:0Gxpi2:0(Gypi2:0)Gxpi2:0@(0)  559  465,Gxpi2:0Gxpi2:0,Gypi2:0,1,Gxpi2:0,Gxpi2:0Gxpi2:0,Gxpi2:0,4,3,1,2,4,9,1,12
Gxpi2:0Gxpi2:0(Gypi2:0)Gypi2:0@(0)  849  175,Gxpi2:0Gxpi2:0,Gypi2:0,1,Gypi2:0,Gxpi2:0Gxpi2:0,Gypi2:0,4,3,1,3,4,9,1,13
Gxpi2:0Gxpi2:0(Gypi2:0)Gxpi2:0Gxpi2:0@(0)  561  463,Gxpi2:0Gxpi2:0,Gypi2:0,1,Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0,4,3,1,4,4,9,1,14
Gxpi2:0Gxpi2:0(Gypi2:0)Gxpi2:0Gxpi2:0Gxpi2:0@(0)  576  448,Gxpi2:0Gxpi2:0,Gypi2:0,1,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,4,3,1,5,4,9,1,15
Gxpi2:0Gxpi2:0(Gypi2:0)Gypi2:0Gypi2:0Gypi2:0@(0)  250  774,Gxpi2:0Gxpi2:0,Gypi2:0,1,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,4,3,1,6,4,9,1,16
Gxpi2:0Gxpi2:0Gxpi2:0(Gypi2:0)Gxpi2:0@(0)  838  186,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,1,Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,5,3,1,2,5,9,1,12
Gxpi2:0Gxpi2:0Gxpi2:0(Gypi2:0)Gypi2:0@(0)  534  490,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,1,Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,5,3,1,3,5,9,1,13
Gxpi2:0Gxpi2:0Gxpi2:0(Gypi2:0)Gxpi2:0Gxpi2:0@(0)  565  459,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,1,Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0,5,3,1,4,5,9,1,14
Gxpi2:0Gxpi2:0Gxpi2:0(Gypi2:0)Gxpi2:0Gxpi2:0Gxpi2:0@(0)  252  772,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,1,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,5,3,1,5,5,9,1,15
Gxpi2:0Gxpi2:0Gxpi2:0(Gypi2:0)Gypi2:0Gypi2:0Gypi2:0@(0)  545  479,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,1,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,5,3,1,6,5,9,1,16
Gypi2:0Gypi2:0Gypi2:0(Gypi2:0)Gxpi2:0@(0)  581  443,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,1,Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,6,3,1,2,6,9,1,12
Gypi2:0Gypi2:0Gypi2:0(Gypi2:0)Gxpi2:0Gxpi2:0@(0)  248  776,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,1,Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0,6,3,1,4,6,9,1,14
