circ_idx,seq,A,G,d,B,P,M,P_enc,G_enc,d_enc,M_enc,P_native_gate_count,G_native_gate_count,d_native_gate_count,M_native_gate_count,full_native_gate_count,remaining_native_gate_count,remaining_wait_num_4-pihalf,remaining_wait_num_pihalf,full_sequence_length
52,Gxpi2:0Gxpi2:0Gxpi2:0([])Gxpi2:0Gxpi2:0@(0)  544  480,Gxpi2:0Gxpi2:0Gxpi2:0,[],1,Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0,9,4,1,7,3,4,1,2,9,32764,8191,0,8194
53,Gxpi2:0Gxpi2:0Gxpi2:0([])Gxpi2:0Gxpi2:0Gxpi2:0@(0)  248  776,Gxpi2:0Gxpi2:0Gxpi2:0,[],1,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,9,4,1,9,3,4,1,3,10,32763,8190,3,8196
54,Gxpi2:0Gxpi2:0Gxpi2:0([])Gypi2:0Gypi2:0Gypi2:0@(0)  576  448,Gxpi2:0Gxpi2:0Gxpi2:0,[],1,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,9,4,1,10,3,4,1,3,10,32763,8190,3,8196
55,Gypi2:0Gypi2:0Gypi2:0([])@(0)  577  447,Gypi2:0Gypi2:0Gypi2:0,[],1,,Gypi2:0Gypi2:0Gypi2:0,,10,4,1,-1,3,4,1,0,7,32766,8191,2,8195
56,Gypi2:0Gypi2:0Gypi2:0([])Gxpi2:0@(0)  518  506,Gypi2:0Gypi2:0Gypi2:0,[],1,Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,10,4,1,5,3,4,1,1,8,32765,8191,1,8195
57,Gypi2:0Gypi2:0Gypi2:0([])Gypi2:0@(0)  851  173,Gypi2:0Gypi2:0Gypi2:0,[],1,Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,10,4,1,6,3,4,1,1,8,32765,8191,1,8195
58,Gypi2:0Gypi2:0Gypi2:0([])Gxpi2:0Gxpi2:0@(0)  560  464,Gypi2:0Gypi2:0Gypi2:0,[],1,Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0,10,4,1,7,3,4,1,2,9,32764,8191,0,8194
59,Gypi2:0Gypi2:0Gypi2:0([])Gxpi2:0Gxpi2:0Gxpi2:0@(0)  548  476,Gypi2:0Gypi2:0Gypi2:0,[],1,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,10,4,1,9,3,4,1,3,10,32763,8190,3,8196
60,Gypi2:0Gypi2:0Gypi2:0([])Gypi2:0Gypi2:0Gypi2:0@(0)  265  759,Gypi2:0Gypi2:0Gypi2:0,[],1,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,10,4,1,10,3,4,1,3,10,32763,8190,3,8196
61,Gypi2:0(Gxpi2:0)Gypi2:0@(0)  277  747,Gypi2:0,Gxpi2:0,1,Gypi2:0,Gypi2:0,Gypi2:0,6,5,1,6,1,1,1,1,3,32770,8192,2,8197
